Santa Teresa Hosiptal,-121.876695321672,37.31931177566452
Snell Light Rail Station,-121.870990837664,37.31334710355458
Monterey and Senter,-121.8649881311923,37.30750231338064
Monterey and Curtner,-121.8589867383659,37.30177724584365
1st and Keyes,-121.8526894839229,37.29522152031797
1st and Reed,-121.8466984696656,37.28879324816531
1st and Santa Clara,-121.8398170919565,37.28248038703217
Civic Center Light Rail Station,-121.8323372064397,37.27593312974135
Oakland and Brokaw,-121.8250331637462,37.27012596720972
Great Mall Transit Center,-121.8176894552342,37.26427403671113
Dixon and Milpitas Blvd,-121.8103667888635,37.2603474158579
